"sample.id","iguana.id","unique.id","sample.type","species","site","sex","tourism.level","visited","year","date","month","repro_month","repro_score","svl","tail","mass","glucose","progesterone","testosterone","e2","corticosterone","bacterial.killing.ability","glycerol","true.triglycerides","droms","antioxidants.index"
"S140","196B","196BUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",33.1,"41.6","1290",135,NA,"0.074",NA,9.125,12.97518065,17.9132621,59.16771321,2.669646182,300.5905512
"S139","45/0B","45/0BUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",17.5,"23","235",153,NA,"0.081",NA,12.436,9.959158027,20.27027027,63.87715493,2.657728119,296.4566929
"S138","142A","142AUC","sample","inornata","UC","F","moderate","visited",2016,"6/26/2016","june","late","NRF",36.4,"41.6","1285",139,0.738,"1.122",NA,21.974,54.25699026,12.25644249,38.87430072,2.621973929,303.5433071
"S137","95C","95CUC","sample","inornata","UC","M","moderate","visited",2016,"6/26/2016","june","late","M",20.2,"27.5","350",148,NA,"0.079",NA,11.474,23.15425699,45.96165933,87.38155041,6.22122905,304.1338583
"L9","30","30LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",25,"35.2","630",NA,0.709,"0.494",2.301,9.069,16.6969147,39.78555305,78.04137505,7.581801963,276
"L7","36","36LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late",NA,37.3,"47.3","1570",103,NA,"",NA,NA,14.09558379,NA,NA,NA,NA
"L6","39","39LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",38.5,"51.2","2170",154,NA,"1.514",NA,1.256,37.44706594,93.32674944,90.31494442,12.06922391,300
"L5","32","32LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",29,"42","1085",188,NA,"1.172",NA,5.238,28.85662432,75.55022573,48.4767394,9.13470116,300
"L34","41","41LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",31.1,"41","1160",168,NA,"14.45",NA,8.516,48.47001224,124.1997439,116.949855,12.69723461,313.2
"L3","35","35LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",44.5,"53.3","3740",192,NA,"3.317",NA,1.671,23.29098609,46.13431151,55.84860025,5.160521415,318
"L28","77","77LC","sample","figginsi","LC","F","high","visited",2016,"6/22/2016","june","late","NRF",28.5,"41","935",204,1.261,"",0.62,24.25,56.80580762,291.9334187,219.5607128,19.54826048,304.8
"L27","31","31LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",36.2,"49.8","1910",150,NA,"0.076",NA,3.526,49.00181488,74.05036278,57.48031496,10.79036574,318
"L26","76","76LC","sample","figginsi","LC","M","high","visited",2016,"6/22/2016","june","late","M",30.1,"41.7","1255",161,NA,"0.076",NA,2.396,25.95281307,55.05761844,98.34231247,6.33719893,315.6
